method;MACD.short;MACD.long;MACD.signal;MACD.thresholds.down;MACD.thresholds.up;currency;asset;candleSize;historySize;trades;relativeResult;
"MACD";5;16;8;-0.03;0.02;USDT;ETH;60;1;582;-361.5637;
"MACD";5;16;8;-0.03;0.025;USDT;ETH;60;1;571;-361.7432;
"MACD";5;16;8;-0.024999999999999998;0.02;USDT;ETH;60;1;595;-362.2676;
"MACD";5;16;8;-0.024999999999999998;0.025;USDT;ETH;60;1;586;-362.9100;
"MACD";5;16;9;-0.03;0.02;USDT;ETH;60;1;551;-357.4906;
"MACD";5;16;9;-0.03;0.025;USDT;ETH;60;1;550;-358.3371;
"MACD";5;16;9;-0.024999999999999998;0.02;USDT;ETH;60;1;564;-357.5709;
"MACD";5;16;9;-0.024999999999999998;0.025;USDT;ETH;60;1;561;-358.4238;
"MACD";5;16;10;-0.03;0.02;USDT;ETH;60;1;532;-356.2508;
"MACD";5;16;10;-0.03;0.025;USDT;ETH;60;1;523;-356.0637;
"MACD";5;16;10;-0.024999999999999998;0.02;USDT;ETH;60;1;541;-355.0748;
"MACD";5;16;10;-0.024999999999999998;0.025;USDT;ETH;60;1;533;-354.8876;
"MACD";5;21;8;-0.03;0.02;USDT;ETH;60;1;541;-354.2686;
"MACD";5;21;8;-0.03;0.025;USDT;ETH;60;1;536;-354.3681;
"MACD";5;21;8;-0.024999999999999998;0.02;USDT;ETH;60;1;558;-356.1823;
"MACD";5;21;8;-0.024999999999999998;0.025;USDT;ETH;60;1;550;-356.0622;
"MACD";5;21;9;-0.03;0.02;USDT;ETH;60;1;533;-356.2139;
"MACD";5;21;9;-0.03;0.025;USDT;ETH;60;1;523;-355.8766;
"MACD";5;21;9;-0.024999999999999998;0.02;USDT;ETH;60;1;544;-356.9719;
"MACD";5;21;9;-0.024999999999999998;0.025;USDT;ETH;60;1;534;-356.6514;
"MACD";5;21;10;-0.03;0.02;USDT;ETH;60;1;510;-354.7604;
"MACD";5;21;10;-0.03;0.025;USDT;ETH;60;1;502;-353.8913;
"MACD";5;21;10;-0.024999999999999998;0.02;USDT;ETH;60;1;518;-355.3891;
"MACD";5;21;10;-0.024999999999999998;0.025;USDT;ETH;60;1;510;-354.5526;
