method;startTime;endTime;currency;asset;candleSize;historySize;PPR_available.bellowMax;PPR_available.upperMin;trades;market;relativeProfit;startBalance;startPrice;endPrice;balance;profit;relativeResult;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.98;1.01;130;8.7337;4.0023;0.008335;0.008335;0.08113001;0.041694072689267704;0.0333590726892677;-0.0394;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.98;1.02;116;8.7337;2.6805;0.008335;0.008335;0.08113001;0.0306772339193437;0.0223422339193437;-0.0505;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.98;1.03;100;8.7337;2.9190;0.008335;0.008335;0.08113001;0.032664679830814204;0.024329679830814202;-0.0485;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.98;1.04;90;8.7337;3.7575;0.008335;0.008335;0.08113001;0.039654082926820704;0.0313190829268207;-0.0415;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.98;1.05;80;8.7337;3.4899;0.008335;0.008335;0.08113001;0.0374236826535039;0.029088682653503894;-0.0437;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.98;1.06;78;8.7337;2.9075;0.008335;0.008335;0.08113001;0.0325687452165894;0.0242337452165894;-0.0486;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.98;1.07;72;8.7337;2.5551;0.008335;0.008335;0.08113001;0.029632130922625403;0.021297130922625404;-0.0515;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.97;1.01;110;8.7337;4.9296;0.008335;0.008335;0.08113001;0.049422901186815006;0.041087901186815004;-0.0317;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.97;1.02;94;8.7337;3.6630;0.008335;0.008335;0.08113001;0.0388662594178144;0.0305312594178144;-0.0423;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.97;1.03;78;8.7337;4.8816;0.008335;0.008335;0.08113001;0.04902325800275541;0.040688258002755405;-0.0321;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.97;1.04;72;8.7337;5.2671;0.008335;0.008335;0.08113001;0.052236670042237206;0.043901670042237204;-0.0289;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.97;1.05;68;8.7337;4.6001;0.008335;0.008335;0.08113001;0.046677240163487704;0.0383422401634877;-0.0345;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.97;1.06;66;8.7337;4.1091;0.008335;0.008335;0.08113001;0.0425841662549797;0.034249166254979695;-0.0385;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.97;1.07;64;8.7337;3.2818;0.008335;0.008335;0.08113001;0.035689013514190404;0.027354013514190402;-0.0454;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.96;1.01;110;8.7337;4.8585;0.008335;0.008335;0.08113001;0.0488309912372568;0.0404959912372568;-0.0323;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.96;1.02;82;8.7337;3.4268;0.008335;0.008335;0.08113001;0.0368973695622311;0.0285623695622311;-0.0442;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.96;1.03;78;8.7337;3.2786;0.008335;0.008335;0.08113001;0.035662164348681004;0.027327164348681002;-0.0455;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.96;1.04;70;8.7337;3.5281;0.008335;0.008335;0.08113001;0.0377413666788613;0.029406366678861297;-0.0434;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.96;1.05;66;8.7337;3.6366;0.008335;0.008335;0.08113001;0.0386461999447901;0.030311199944790097;-0.0425;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.96;1.06;62;8.7337;3.5897;0.008335;0.008335;0.08113001;0.0382550900151823;0.029920090015182296;-0.0429;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.96;1.07;60;8.7337;2.7508;0.008335;0.008335;0.08113001;0.0312632684335777;0.022928268433577696;-0.0499;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.95;1.01;104;8.7337;3.3460;0.008335;0.008335;0.08113001;0.0362238233514105;0.027888823351410498;-0.0449;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.95;1.02;86;8.7337;2.4963;0.008335;0.008335;0.08113001;0.0291419717977089;0.0208069717977089;-0.0520;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.95;1.03;78;8.7337;2.2111;0.008335;0.008335;0.08113001;0.0267642645765352;0.018429264576535202;-0.0544;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.95;1.04;68;8.7337;2.6326;0.008335;0.008335;0.08113001;0.0302779030858226;0.0219429030858226;-0.0509;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.95;1.05;60;8.7337;3.2084;0.008335;0.008335;0.08113001;0.0350768875887404;0.026741887588740396;-0.0461;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.95;1.06;58;8.7337;2.7497;0.008335;0.008335;0.08113001;0.031253662640393705;0.022918662640393703;-0.0499;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.95;1.07;58;8.7337;2.5166;0.008335;0.008335;0.08113001;0.0293111440945609;0.020976144094560903;-0.0518;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.94;1.01;82;8.7337;3.7800;0.008335;0.008335;0.08113001;0.0398408847748457;0.0315058847748457;-0.0413;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.94;1.02;76;8.7337;2.5435;0.008335;0.008335;0.08113001;0.0295350953741649;0.021200095374164903;-0.0516;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.94;1.03;64;8.7337;2.6919;0.008335;0.008335;0.08113001;0.0307716449119807;0.022436644911980698;-0.0504;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.94;1.04;58;8.7337;2.9284;0.008335;0.008335;0.08113001;0.0327432712828013;0.0244082712828013;-0.0484;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;60;1;0.94;1.05;54;8.7337;3.1989;0.008335;0.008335;0.08113001;0.034997613833369204;0.0266626138333692;-0.0461;
