method;startTime;endTime;currency;asset;candleSize;historySize;PPR_available.bellowMax;PPR_available.upperMin;trades;market;relativeProfit;startBalance;startPrice;endPrice;balance;profit;relativeResult;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.99;1.01;50;45.1775;25.2468;8.04482173;8.04482173;371.49;211.15095220170002;203.10613047170003;-160.3390;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.99;1.02;44;45.1775;28.0855;8.04482173;8.04482173;371.49;233.98801018950002;225.94318845950002;-137.5020;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.99;1.03;40;45.1775;25.5154;8.04482173;8.04482173;371.49;213.3114303096;205.26660857960002;-158.1786;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.99;1.04;40;45.1775;20.0634;8.04482173;8.04482173;371.49;169.4510882547;161.40626652470002;-202.0389;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.99;1.05;38;45.1775;18.4883;8.04482173;8.04482173;371.49;156.7799284149;148.73510668490002;-214.7101;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.99;1.06;36;45.1775;13.8306;8.04482173;8.04482173;371.49;119.3098236036;111.2650018736;-252.1802;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.99;1.07;34;45.1775;14.8383;8.04482173;8.04482173;371.49;127.4165452518;119.3717235218;-244.0735;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.98;1.01;52;45.1775;25.6548;8.04482173;8.04482173;371.49;214.4334229821;206.38860125210002;-157.0566;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.98;1.02;40;45.1775;26.9170;8.04482173;8.04482173;371.49;224.58733314780002;216.54251141780003;-146.9027;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.98;1.03;40;45.1775;25.4651;8.04482173;8.04482173;371.49;212.9066510907;204.8618293607;-158.5833;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.98;1.04;40;45.1775;20.3034;8.04482173;8.04482173;371.49;171.3823607475;163.3375390175;-200.1076;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.98;1.05;38;45.1775;15.2229;8.04482173;8.04482173;371.49;130.5101319417;122.4653102117;-240.9799;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.98;1.06;36;45.1775;11.3456;8.04482173;8.04482173;371.49;99.31845702870001;91.27363529870001;-272.1715;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.98;1.07;34;45.1775;12.1845;8.04482173;8.04482173;371.49;106.06683292170001;98.02201119170002;-265.4232;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.97;1.01;50;45.1775;23.9066;8.04482173;8.04482173;371.49;200.36916821250003;192.32434648250003;-171.1208;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.97;1.02;38;45.1775;22.9317;8.04482173;8.04482173;371.49;192.52617474510004;184.48135301510004;-178.9638;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.97;1.03;38;45.1775;25.8180;8.04482173;8.04482173;371.49;215.74579313490003;207.70097140490003;-155.7442;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.97;1.04;36;45.1775;17.8848;8.04482173;8.04482173;371.49;151.9248587367;143.8800370067;-219.5651;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.97;1.05;34;45.1775;13.3810;8.04482173;8.04482173;371.49;115.69297838909999;107.6481566591;-255.7970;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.97;1.06;32;45.1775;12.2542;8.04482173;8.04482173;371.49;106.62789426869999;98.5830725387;-264.8621;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.97;1.07;30;45.1775;13.2212;8.04482173;8.04482173;371.49;114.40737409079999;106.3625523608;-257.0826;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.96;1.01;44;45.1775;25.5959;8.04482173;8.04482173;371.49;213.9593274441;205.91450571410002;-157.5307;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.96;1.02;30;45.1775;25.7459;8.04482173;8.04482173;371.49;215.1662538753;207.1214321453;-156.3237;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.96;1.03;32;45.1775;27.8205;8.04482173;8.04482173;371.49;231.8559770709;223.8111553409;-139.6340;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.96;1.04;30;45.1775;23.2754;8.04482173;8.04482173;371.49;195.2909593509;187.24613762090002;-176.1990;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.96;1.05;28;45.1775;20.1307;8.04482173;8.04482173;371.49;169.9923714741;161.9475497441;-201.4976;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.96;1.06;26;45.1775;18.4750;8.04482173;8.04482173;371.49;156.67268668170001;148.62786495170002;-214.8173;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.96;1.07;26;45.1775;18.4365;8.04482173;8.04482173;371.49;156.3629383197;148.3181165897;-215.1271;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.95;1.01;44;45.1775;21.5455;8.04482173;8.04482173;371.49;181.37489194230002;173.33007021230003;-190.1151;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.95;1.02;24;45.1775;25.6196;8.04482173;8.04482173;371.49;214.1501024187;206.1052806887;-157.3399;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.95;1.03;26;45.1775;29.8358;8.04482173;8.04482173;371.49;248.06848792739999;240.0236661974;-123.4215;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.95;1.04;26;45.1775;28.6899;8.04482173;8.04482173;371.49;238.8502942035;230.8054724735;-132.6397;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;1440;1;0.95;1.05;26;45.1775;20.8921;8.04482173;8.04482173;371.49;176.1177363477;168.0729146177;-195.3723;
