method;startTime;endTime;currency;asset;candleSize;historySize;PPR_multiple.Multiples.persistence;trades;market;relativeProfit;startBalance;startPrice;endPrice;balance;profit;relativeResult;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;1;263;45.1775;12.3939;8.04482173;8.04482173;371.49;107.75181868920001;99.70699695920001;-263.7382;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;2;243;45.1775;8.4897;8.04482173;8.04482173;371.49;76.3427403984;68.2979186684;-295.1473;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;3;225;45.1775;9.7546;8.04482173;8.04482173;371.49;86.5191368538;78.47431512380001;-284.9709;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;4;207;45.1775;10.4350;8.04482173;8.04482173;371.49;91.99231016850001;83.94748843850002;-279.4977;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;5;191;45.1775;17.3083;8.04482173;8.04482173;371.49;147.28736703660002;139.24254530660002;-224.2026;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;6;175;45.1775;15.0596;8.04482173;8.04482173;371.49;129.19692593640002;121.15210420640003;-242.2931;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;7;157;45.1775;16.4599;8.04482173;8.04482173;371.49;140.4616617852;132.4168400552;-231.0283;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;8;141;45.1775;28.2088;8.04482173;8.04482173;371.49;234.979461276;226.934639546;-136.5105;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;9;131;45.1775;25.2432;8.04482173;8.04482173;371.49;211.12180509630002;203.07698336630003;-160.3682;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;10;135;45.1775;26.5742;8.04482173;8.04482173;371.49;221.8299226185;213.7851008885;-149.6601;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;11;121;45.1775;39.0846;8.04482173;8.04482173;371.49;322.4730981276;314.4282763976;-49.0169;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;12;109;45.1775;40.9737;8.04482173;8.04482173;371.49;337.6709100534;329.6260883234;-33.8191;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;13;97;45.1775;38.2983;8.04482173;8.04482173;371.49;316.1481762558;308.1033545258;-55.3418;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;14;93;45.1775;16.0998;8.04482173;8.04482173;371.49;137.5650725274;129.5202507974;-233.9249;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;15;87;45.1775;18.3744;8.04482173;8.04482173;371.49;155.8633177038;147.8184959738;-215.6267;
