method;startTime;endTime;currency;asset;candleSize;historySize;PPR_multiple.Multiples.names;trades;market;relativeProfit;startBalance;startPrice;endPrice;balance;profit;relativeResult;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","CCI","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","CCI","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","CCI","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","CCI","RSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","CCI","TSI"];4;45.1775;0.9781;8.04482173;8.04482173;371.49;15.91383045;7.86900872;-355.5762;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","CCI","UO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","DEMA","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","DEMA","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","DEMA","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","DEMA","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","DEMA","RSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","DEMA","TSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","DEMA","UO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","MACD","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","MACD","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","MACD","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","MACD","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","MACD","RSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","MACD","TSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","MACD","UO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","PPO","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","PPO","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","PPO","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","PPO","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","PPO","RSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","PPO","TSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["CCI","PPO","UO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
